obs_id,true_value,meas_value,corr_value,diff(%)
0,  3.13263   5.78144 -0.248269  0.439914,  2.54054   5.34648 -0.266215  0.483228,  2.65678   5.42604 -0.266215  0.483228,-15.1901 -6.14715  7.22839  9.84597
7,  9.30994   14.9693  0.514469 -0.473625,  9.19074   15.0324  0.508057 -0.458923,  9.20902   15.0902  0.508057 -0.458923,-1.08404 0.808057 -1.24632 -3.10403
9,  12.5915   6.71657  0.306005 -0.388392, 12.6991  6.86421 0.339369  -0.3737,  12.669  6.80228 0.339369  -0.3737,0.615457  1.27609  10.9032  -3.7827
16,  1.65539   13.7247 -0.206128  0.390511,  1.21454   13.3265 -0.188286  0.366988,  1.33145   13.3522 -0.188286  0.366988,-19.5684 -2.71406 -8.65595 -6.02365
18, 3.62457  6.73531 -0.38613 0.451551,  3.32173   6.49197 -0.407468  0.469874,  3.38828   6.52854 -0.407468  0.469874,-6.51909 -3.06996  5.52603  4.05785
19,  18.4951   11.2347 -0.231757 -0.326946,  18.2062   11.0162 -0.205427 -0.320733,  18.2269   11.0509 -0.205427 -0.320733,-1.45007  -1.6357  -11.361  -1.9003
0,  3.12435    5.7961 -0.248269  0.439914,  2.88944   5.79513 -0.169696  0.364265,  2.84673   5.73187 -0.169696  0.364265, -8.8857 -1.10813 -31.6485 -17.1963
7,  9.32709   14.9535  0.514469 -0.473625, 9.25501  15.1909 0.560776 -0.51092, 9.25001  15.1701 0.560776 -0.51092,-0.826458    1.4483   9.00095   7.87448
9,  12.6017   6.70363  0.306005 -0.388392, 12.6766  6.99589 0.299445  -0.3588, 12.6771  6.95924 0.299445  -0.3588,0.598136  3.81308 -2.14368 -7.61907
16,  1.64852   13.7377 -0.206128  0.390511,    1.844   13.7161 -0.162964  0.394488,  1.75168   13.6535 -0.162964  0.394488,   6.2578 -0.613007  -20.9406   1.01841
18,  3.6117  6.75036 -0.38613 0.451551,  3.75639   6.91226 -0.410555  0.463087,   3.6884   6.84668 -0.410555  0.463087,2.12363 1.42688 6.32554 2.55483
19,  18.4874   11.2238 -0.231757 -0.326946,  18.9012   11.3955 -0.213621 -0.280651,  18.7799   11.3324 -0.213621 -0.280651, 1.58229 0.967372 -7.82529 -14.1599
0,  3.11607   5.81077 -0.248269  0.439914,  2.90815   5.25665 -0.222773  0.460441,  2.89603   5.34377 -0.222773  0.460441,-7.06157 -8.03672 -10.2697   4.6661
7,  9.34424   14.9377  0.514469 -0.473625,  9.38732   14.9069  0.511156 -0.447128,  9.36603    14.951  0.511156 -0.447128, 0.233177 0.0888637 -0.643873  -5.59451
9,  12.6119   6.69068  0.306005 -0.388392, 12.7096  6.64848 0.317517 -0.35831, 12.7057   6.7017 0.317517 -0.35831, 0.74301 0.164695  3.76218 -7.74531
16,  1.64164   13.7507 -0.206128  0.390511,  1.38699    13.256 -0.259156  0.408871,  1.45066   13.3292 -0.259156  0.408871,-11.6336 -3.06598  25.7258  4.70153
18, 3.59883  6.76541 -0.38613 0.451551,  3.33822   7.06386 -0.387565  0.472279,  3.39823   7.02795 -0.387565  0.472279,-5.57397  3.88068 0.371663  4.59038
19,  18.4796   11.2129 -0.231757 -0.326946,  18.1489    11.182 -0.222218 -0.326107,    18.26    11.207 -0.222218 -0.326107, -1.18839 -0.052749  -4.11591 -0.256488
0,   3.1078   5.82543 -0.248269  0.439914,  3.44524   6.13156 -0.225887  0.465241,  3.34608   5.99399 -0.225887  0.465241, 7.66733   2.8936 -9.01548  5.75725
7,  9.36139   14.9219  0.514469 -0.473625,  9.26487   14.6773  0.494733 -0.451123,  9.28587   14.7234  0.494733 -0.451123,-0.806754  -1.33024  -3.83612  -4.75095
9,  12.6221   6.67773  0.306005 -0.388392,  12.6908   6.57085   0.28134 -0.374301,  12.6952   6.59198   0.28134 -0.374301,0.579058 -1.28419 -8.06035 -3.62796
16,  1.63477   13.7638 -0.206128  0.390511,  1.68739    13.936 -0.181261  0.414886,  1.64394   13.8304 -0.181261  0.414886,0.560704 0.483961  -12.064  6.24179
18, 3.58596  6.78046 -0.38613 0.451551,  3.94341   6.81845 -0.426311  0.448555,  3.84388   6.85849 -0.426311  0.448555,  7.19266   1.15077   10.4061 -0.663445
19,  18.4719    11.202 -0.231757 -0.326946,  18.5642   10.9305 -0.235423 -0.312729,  18.5086   10.9778 -0.235423 -0.312729,0.198893 -2.00108  1.58161  -4.3483
0,  3.09952   5.84009 -0.248269  0.439914,  3.60269   6.10884 -0.311058  0.407118,  3.55537   6.09096 -0.311058  0.407118,  14.707  4.29561  25.2906 -7.45511
7,  9.37854   14.9061  0.514469 -0.473625,  9.30227   14.9549  0.468091 -0.475899,   9.3022   14.9109  0.468091 -0.475899,-0.813993 0.0321749  -9.01482  0.480185
9,  12.6323   6.66479  0.306005 -0.388392,  12.7828   6.62658  0.258332 -0.443475,  12.7688   6.61797  0.258332 -0.443475,  1.08034 -0.702393  -15.5791   14.1825
16,   1.6279   13.7768 -0.206128  0.390511,  1.67639   13.6704 -0.235701  0.404396,  1.66935   13.7013 -0.235701  0.404396,  2.54635 -0.547875   14.3467   3.55554
18, 3.57309  6.79551 -0.38613 0.451551,   3.8228   6.79733 -0.354252  0.504921,  3.82426   6.81107 -0.354252  0.504921, 7.02952 0.228928 -8.25575  11.8193
