obs_id,true_value,meas_value,corr_value,diff(%)
17,  9.50306  -2.06086 -0.493217 -0.342972,  9.09089  -2.03739 -0.477809  -0.30697,  9.20268  -1.98732 -0.477809  -0.30697,-3.16087  -3.5684 -3.12391 -10.4971
18, 5.28491  4.79362 -0.38613 0.451551,  5.22945   5.15497 -0.358934  0.449712,  5.30199   5.12779 -0.358934  0.449712, 0.323253   6.97106  -7.04314 -0.407286
0,  4.19192   3.90449 -0.248269  0.439914,  4.15832   3.66502 -0.195136  0.426274,  4.11637    3.7652 -0.195136  0.426274,-1.80213 -3.56733 -21.4014 -3.10062
4, -5.60595   -3.0139 -0.291101  0.392372, -5.50085  -2.92971 -0.307209  0.423976, -5.52179  -2.99947 -0.307209  0.423976, -1.50126 -0.478634    5.5335   8.05449
17,  9.48662  -2.07229 -0.493217 -0.342972,  9.22997  -2.00812 -0.461668 -0.352486,  9.22024  -2.00574 -0.461668 -0.352486,-2.80797 -3.21149 -6.39666  2.77391
18, 5.27204  4.80867 -0.38613 0.451551,  5.10706   4.48043 -0.379682  0.424888,  5.14826   4.62956 -0.379682  0.424888,-2.34787 -3.72477 -1.66994 -5.90479
0,  4.18364   3.91915 -0.248269  0.439914,  4.56025   3.73586 -0.255378     0.416,  4.45885   3.74567 -0.255378     0.416, 6.57815 -4.42656  2.86349 -5.43605
4, -5.61565  -3.00082 -0.291101  0.392372, -5.44247  -3.29567 -0.308062  0.395809, -5.46263   -3.2258 -0.308062  0.395809,-2.72483  7.49731  5.82635 0.876003
17,  9.47018  -2.08373 -0.493217 -0.342972,   9.1304  -2.14734 -0.452176 -0.346285,  9.14716  -2.11811 -0.452176 -0.346285,-3.41092  1.64987  -8.3211 0.965977
18, 5.25917  4.82372 -0.38613 0.451551,  5.26417    4.9357 -0.348231  0.397846,  5.23522   4.86996 -0.348231  0.397846,-0.45527 0.958494 -9.81505 -11.8934
0,  4.17537   3.93381 -0.248269  0.439914,  4.18782   3.58021 -0.246954  0.471636,  4.24692   3.62058 -0.246954  0.471636,  1.71377  -7.96247 -0.529912     7.211
4, -5.62535  -2.98774 -0.291101  0.392372, -5.44314  -3.11626 -0.288011  0.329288, -5.44984  -3.13795 -0.288011  0.329288,-3.12008  5.02771 -1.06157 -16.0776
17,  9.45374  -2.09516 -0.493217 -0.342972,  9.54962  -2.11601 -0.500151 -0.377209,  9.45561  -2.11908 -0.500151 -0.377209,0.0197923    1.1419    1.4058   9.98246
18,  5.2463  4.83877 -0.38613 0.451551, 5.18446  4.87777 -0.42975 0.382934, 5.19328    4.879 -0.42975 0.382934, -1.0106 0.831267  11.2968 -15.1958
0,  4.16709   3.94848 -0.248269  0.439914,  4.36769   3.62362 -0.309637  0.431624,  4.33865   3.62648 -0.309637  0.431624, 4.11698 -8.15499  24.7182 -1.88439
4, -5.63506  -2.97466 -0.291101  0.392372, -5.58394  -2.66876 -0.322291  0.353968, -5.55591  -2.77193 -0.322291  0.353968,-1.40452 -6.81516  10.7143 -9.78759
17,   9.4373  -2.10659 -0.493217 -0.342972,  9.70124  -2.28134 -0.451923 -0.356754,  9.64218  -2.24764 -0.451923 -0.356754, 2.17101  6.69545 -8.37235  4.01837
18, 5.23343  4.85383 -0.38613 0.451551,  5.19712   4.89949 -0.427462  0.432341,  5.19303   4.89775 -0.427462  0.432341,-0.771925  0.904923    10.704  -4.25426
0,  4.15881   3.96314 -0.248269  0.439914,  4.14895   4.11672 -0.284485  0.439844,  4.18933   4.00958 -0.284485  0.439844,  0.733828    1.17175    14.5873 -0.0158932
4, -5.64476  -2.96158 -0.291101  0.392372, -5.78802  -2.74166 -0.267324  0.363101, -5.73818  -2.74582 -0.267324  0.363101, 1.65506 -7.28539 -8.16818    -7.46
17,  9.42086  -2.11802 -0.493217 -0.342972,  9.07842  -2.21748 -0.515807 -0.356771,  9.20196  -2.22695 -0.515807 -0.356771,-2.32358  5.14277  4.58018  4.02325
18, 5.22056  4.86888 -0.38613 0.451551,  5.04219    4.7088 -0.391546  0.506042,  5.07294   4.75459 -0.391546  0.506042,-2.82758 -2.34734  1.40261  12.0676
0,  4.15054    3.9778 -0.248269  0.439914,  4.38602   3.82347 -0.256232  0.388627,   4.3396   3.86867 -0.256232  0.388627, 4.55513 -2.74347  3.20733 -11.6584
4, -5.65446   -2.9485 -0.291101  0.392372,  -5.9324  -2.86022 -0.294896  0.406264, -5.89068  -2.83173 -0.294896  0.406264, 4.17752 -3.96013  1.30374  3.54059
17,  9.40442  -2.12946 -0.493217 -0.342972,  9.08612  -1.69316 -0.525914 -0.317325,  9.10833  -1.81602 -0.525914 -0.317325,-3.14838 -14.7191  6.62928 -7.47799
18, 5.20768  4.88393 -0.38613 0.451551,  5.30297   4.90861 -0.400047  0.404618,  5.24824   4.87773 -0.400047  0.404618, 0.778771 -0.126895   3.60429  -10.3937
0,  4.14226   3.99247 -0.248269  0.439914,  3.94021   3.92696 -0.240027  0.390812,  4.02821   3.91676 -0.240027  0.390812,-2.75336 -1.89635 -3.31997 -11.1617
4, -5.66417  -2.93542 -0.291101  0.392372, -5.66976  -3.10602 -0.274692  0.379813, -5.72171  -3.04121 -0.274692  0.379813, 1.01599    3.604  -5.6369 -3.20077
17,  9.38798  -2.14089 -0.493217 -0.342972,  9.24096  -1.66107 -0.477549 -0.355384,  9.20716  -1.69834 -0.477549 -0.355384,-1.92611 -20.6713 -3.17664  3.61871
