obs_id,true_value,meas_value,corr_value,diff(%)
17,  9.28934  -2.20948 -0.493217 -0.342972,  9.44299  -2.17799 -0.500905 -0.338242,  9.39574  -2.20959 -0.500905 -0.338242,  1.14544 0.0047587   1.55879  -1.37912
18, 5.11759  4.98929 -0.38613 0.451551,  5.03094   5.01018 -0.409155  0.426252,  4.98553   5.01917 -0.409155  0.426252,-2.58049  0.59873  5.96308 -5.60265
0,  4.08433   4.09511 -0.248269  0.439914,  3.93539    3.9939 -0.260021  0.409289,   3.9274   3.97607 -0.260021  0.409289,-3.84235 -2.90704  4.73345 -6.96166
4, -5.73209  -2.84387 -0.291101  0.392372, -5.58239  -3.14514 -0.330193  0.402102, -5.58264  -3.07018 -0.330193  0.402102,-2.60714    7.958  13.4288  2.47985
17,  9.27289  -2.22092 -0.493217 -0.342972,    9.393  -2.19314 -0.482285 -0.331137,  9.38985  -2.19938 -0.482285 -0.331137,  1.26131 -0.969566  -2.21644  -3.45073
18, 5.10472  5.00434 -0.38613 0.451551,   5.1098   4.69492 -0.388077  0.482018,  5.07875   4.77112 -0.388077  0.482018,-0.508642  -4.66035  0.504331   6.74717
0,  4.07606   4.10978 -0.248269  0.439914,  3.41433   4.22556 -0.272485  0.462532,   3.5279   4.17246 -0.272485  0.462532,-13.4484  1.52517   9.7539  5.14157
4, -5.74179  -2.83079 -0.291101  0.392372, -6.01616  -2.41947 -0.300846  0.434577, -5.92104  -2.56296 -0.300846  0.434577, 3.12175 -9.46114   3.3475  10.7563
17,  9.25645  -2.23235 -0.493217 -0.342972,   9.2951  -2.13491 -0.456498 -0.262757,  9.31281  -2.15191 -0.456498 -0.262757,0.608875 -3.60329 -7.44485 -23.3882
18, 5.09185   5.0194 -0.38613 0.451551,  5.07459   5.13842 -0.405754  0.414902,  5.07262   5.05934 -0.405754  0.414902,-0.377651  0.795749   5.08217  -8.11611
0,  4.06778   4.12444 -0.248269  0.439914,  3.58775   4.42266 -0.269641  0.446343,  3.57223    4.3698 -0.269641  0.446343,-12.1825  5.94891  8.60826  1.46145
4, -5.75149  -2.81771 -0.291101  0.392372, -5.52382  -2.85301 -0.239559  0.387192, -5.61551  -2.78445 -0.239559  0.387192,-2.36432 -1.18043  -17.706 -1.32019
17,  9.24001  -2.24378 -0.493217 -0.342972,  9.17899  -2.25542 -0.499098  -0.34128,  9.20569  -2.23409 -0.499098  -0.34128,-0.371447 -0.431948   1.19234 -0.493351
18, 5.07898  5.03445 -0.38613 0.451551,  4.83592   4.95568 -0.340704  0.483021,  4.88617   4.98213 -0.340704  0.483021,-3.79618 -1.03917 -11.7644  6.96948
0,  4.05951    4.1391 -0.248269  0.439914,  3.93646   4.33346 -0.221049  0.444472,  3.85243     4.345 -0.221049  0.444472,-5.10115  4.97428 -10.9638  1.03604
4,  -5.7612  -2.80463 -0.291101  0.392372, -5.66091  -3.02666 -0.292557  0.402508, -5.65248  -2.96922 -0.292557  0.402508,-1.88699  5.86848 0.500147  2.58318
17,  9.22357  -2.25521 -0.493217 -0.342972,  9.26027  -2.45238 -0.479821 -0.310732,  9.24424  -2.40579 -0.479821 -0.310732,0.224058  6.67699 -2.71612 -9.40031
18, 5.06611   5.0495 -0.38613 0.451551,  4.74345   4.98719 -0.380496  0.397427,  4.77303   4.98967 -0.380496  0.397427,-5.78504  -1.1848 -1.45902 -11.9861
0,  4.05123   4.15377 -0.248269  0.439914,  3.86533   4.22965 -0.187323   0.39328,  3.86077   4.25896 -0.187323   0.39328,-4.70136  2.53239 -24.5487 -10.6007
4,  -5.7709  -2.79155 -0.291101  0.392372, -5.76172  -3.00898 -0.343018  0.373079, -5.73932  -2.99701 -0.343018  0.373079,-0.547178   7.36005   17.8345  -4.91691
17,  9.20713  -2.26665 -0.493217 -0.342972,  9.36945  -2.57423 -0.500459 -0.280304,  9.33766  -2.53864 -0.500459 -0.280304, 1.41766       12  1.46834 -18.2723
18, 5.05324  5.06455 -0.38613 0.451551,  5.07929   5.15161 -0.435154  0.429825,  5.00748   5.11814 -0.435154  0.429825,-0.905448   1.05802   12.6962  -4.81145
0,  4.04296   4.16843 -0.248269  0.439914,  3.71887   4.40239 -0.166097  0.434199,  3.74941   4.37305 -0.166097  0.434199,-7.26065  4.90876 -33.0982 -1.29922
